"more presumptious","pió presuntuoso"
"known treasure hunter","cacciatore di tesori conosciuto"
"have very thin irises","hanno iridi molto sottili"
"systematic experiments","esperimenti sistematici"
"Yes, master.  Ask and I shall obey.","Sç, padrone.  Chiedete e obbedirï."
"Schemes","Complotti"
"Play with ","Gioca con "
"the Path","il Sentiero"
"in order to make nightmares reality","per rendere gli incubi realtÖ"
"do not have enough armor stands","non ha abbastanza supporti per armatura"
"mathematics:geometry:angle sum difference trig identities","matematica:geometria:somma angolare differenza identitÖ trigon."
" of these creatures."," di queste creature."
"Autosave","Autosalvataggio"
"I am ","Io sono "
"There is no bucket.","Non c'ä alcun secchio."
"insurrection","insurrezione"
"Sand Zone","Zona Sabbia"
"Saving identities...","Salvataggio identitÖ..."
"exile","esilio"
"long","lungo"
"Arena: Fluids, remove","Arena: Fluidi, rimuovi"
"This is mortifying.","‘ mortificante."
"horrified","inorridito"
"Choose a vehicle for ","Scegli un veicolo per "
"The absence of ","L'assenza di "
"Not yet completed","Non ancora completato"
"Wall Grate","Grata a parete"
"Harumph!","Ehehm!"
"Animal Remedies","Rimedi animali"
"Loading data needed to create new world","Caricamento dati necessari per creare un nuovo mondo"
"traitor","traditore"
"intruder","intruso"
" power to avoid excitement and stress"," potere di evitare l'eccitazione e lo stress"
"sow the seeds of chaos in the world","disseminare il caos nel mondo"
" intently when "," minuziosamente quando "
"Failed to find vanilla descriptors graphics header.","Impossibile trovare l'intestazione grafica dei descrittori vanilla."
"Stockpile","Scorta"
"Butcher an animal","Macellare un animale"
"a formula which solves quadratic equations","una formula che risolve equazioni di secondo grado"
"the fruit and vegetable market","il mercato ortofrutticolo"
" to be a holy city"," per essere una cittÖ santa"
"Track playing: ","Traccia in riproduzione: "
"The world has passed into ","Il mondo ä passato in "
"the Water Cycle","il Ciclo dell'Acqua"
"Trade how many? (0-","Quanti venderne? (0-"
"Tropical Saltwater Pool","Pozza tropicale d'acqua salata"
"mysterious","misterioso"
" Notable Kill"," Uccisione degna di nota"
"The horror consumes me!","L'orrore mi consuma!"
" in a fetal position"," in posizione fetale"
"Adventure automove","Mov. automatico Avventura"
"[C:4:0:1]Bleeding","[C:4:0:1]Sanguinamento"
"Cheese (plant)","Formaggio (pianta)"
"Cannot generate random creatures -- missing body gloss ","Impossibile generare creature casuali -- body gloss mancante "
"the theory of epidemic disease","la teoria delle malattie epidemiche"
"being unable to practice a martial art for too long","essere stato incapace di praticare arti marziali per troppo tempo"
" in order to have someone to act on plots and schemes in "," per avere qualcuno che agisca su trame e complotti in "
" the marks of numerous old wounds, the chief among them"," i segni di numerose vecchie ferite, la principale tra esse"
"in order to cement the bonds of friendship","per consolidare i legami di amicizia"
"seat of power","sede del potere"
"Acids and Alkalis","Acidi e Alcali"
"Chair","Sedia"
" feels intellectually that life should be more tumultuous"," sente intellettualmente che la vita dovrebbe essere pió tumultuosa"
"was naturally inclined to speak","era naturalmente portato a parlare"
"very bad analytical abilities","pessime capacitÖ analitiche"
" of the first theme"," del primo tema"
"[C:4:0:1]Cannot breathe","[C:4:0:1]IncapacitÖ di respirare"
"skillful ","abile "
"Disdains introspection","Disdegna l'introspezione"
"the adversary's abuse of the aggressor's fallen","l'abuso dell'avversario sull'aggressore caduto"
"Notation","Notazione"
" recognized "," riconosciuto "
" crafts"," oggetti d'artigianato"
"the use of a distance scale in the creation of maps","l'uso di una scala di distanza nella creazione di mappe"
"are now quite knowledgeable ","ora sono abbastanza informati "
"Make sure your parameters and presets offer enough low-to-mid savagery, evil/good appropriate, biome appropriate squares to establish sites.  ","Assicurati che parametri e predefiniti offrano un numero sufficiente di caselle di bassa/media ferocia, appropriate sia al male/bene che al bioma per stabilire i siti.  "
" part, the "," parte, il "
"exceptional ","eccezionale "
"rewards","premia"
"Desired metal cages and chains in dungeons: ","Catene e gabbie in metallo desiderate nelle segrete: "
"a dance form","una forma di danza"
"A great piece of art is one that moves me.","Una grande opera d'arte ä una che mi commuove."
"on ","su "
"boiled","bollito"
"Toggle whether the soldiers will store their individually assigned weapons and armor here.","Scegli se i soldati riporranno qui le loro armi e armature assegnate individualmente."
"Minimum Mountain Peak Number","Numero minimo di picchi di montagna"
"no sense for spatial relationships","nessun senso per le relazioni spaziali"
"Ice Downward Track (EW)","Ghiaccio Binario in Gió (EO)"
"The impertinent vegetation has defaced a ","La vegetazione impertinente ha deturpato un "
"Ambush","Agguato"
"is very small yet with huge slabs of lard and muscle","ä molto piccolo ma con enormi strati di lardo e muscoli"
"If this is your first time playing, please heed the embark warnings about aquifers, saltwater, and other hazards. ","Se ä la prima volta che giochi presta attenzione agli avvisi d'insediamento su falde acquifere, acqua salata e altri pericoli. "
" harms the creature."," danneggia la creatura."
"Administrators handle various aspects of your fortress and can be reassigned. Many administrators also require rooms.","Gli amministratori gestiscono vari aspetti della fortezza e possono essere riassegnati. Molti amministratori richiedono anche delle stanze."
"A lowly group of outcasts have perpetrated enough crimes against our community to gain notice.","Un gruppo di emarginati ha commesso abbastanza crimini, contro la nostra comunitÖ, da farsi notare."
"Not enough medium altitudes","Quote medie insufficienti"
"a flying race","una gara di volo"
"guildhall petition ignored","petizione della casa della gilda ignorata"
" with threats of violence"," con minacce di violenza"
" rarely talks"," parla raramente"
"Deep underground, the promise of treasure and the thrill of overcoming danger have lured you back to this place.  Will you strike the earth again?","Nelle profonditÖ sotterranee, la promessa di un tesoro e il brivido di superare il pericolo ti hanno attirato di nuovo in questo luogo.  Riuscirai ancora a colpire la terra?"
"Overall, the poetry is passable","Nel complesso la poesia ä passabile"
" curved walk"," cammino curvo"
"lemur","lemure"
"Citizen overwhelmed by stress","Cittadino sopraffatto dallo stress"
"the Spherical Astrolabe","l'Astrolabio sferico"
"is incredibly long and muscular","ä incredibilmente lungo e muscoloso"
"Clean Building Site","Pulisci Sito di costruzione"
"legendary information source","leggendaria fonte di informazioni"
"Former mercenary","Ex mercenario"
"Stonecutting","Taglio della pietra"
"delta formation","formazione delta"
"well-crafted","ben fatto"
"a cottage plot","un terreno di casolare"
"outraged","adirato"
"I talked to my sibling.","Ho parlato con mio fratello."
"It's irritating.","‘ irritante."
"reunited with hf","riunito con hf"
"the Dark Fortress","la Fortezza Oscura"
"Profession change","Cambio di professione"
"Dig channel","Scava canale"
"Arena: Weather","Arena: Meteo"
"a deity","una divinitÖ"
"I heard that there was an incident.","Ho sentito che c'ä stato un incidente."
"Cavern Layer Openness Max","Caverna Livello Apertura Max"
"the things some people think just boggle the mind.","le cose che alcune persone pensano lasciano senza parole."
"obese","obeso"
"the settings menu.","il menó impostazioni."
"Slayer","Uccisore"
"independently discovered","scoperto in modo indipendente"
"You are amazing.","Sei fantastico."
" to hunt"," alla caccia"
"the Sun and Moon","il Sole e la Luna"
"medicine:theory:nervous system function","medicina:teoria:funzione del sistema nervoso"
"began dreaming of becoming a legendary warrior","cominciato a sognare di divenire un guerriero leggendario"
"Gladly.  You are now one of my ","Con piacere.  Ora sei uno dei miei "
"[C:3:0:1]Completely numb","[C:3:0:1]Completamente intorpidito"
"stopped being the pet of","ha smesso di essere l'animale domestico di"
"is very muscular if incredibly short","ä molto muscoloso anche se incredibilmente basso"
"the Light of Day","la Luce del Giorno"
"Pet owner","Proprietario"
"[C:6:0:1]Gems[C:7:0:0] can be [C:3:0:1]Cut[C:7:0:0] at the [C:6:0:0]Jeweler's Workshop[C:7:0:0].  [C:3:0:1]Encrust[C:7:0:0] them on [C:6:0:1]Crafts[C:7:0:0] and other items to add even more value.","Le [C:6:0:1]Gemme[C:7:0:0] possono essere [C:3:0:1]Tagliate[C:7:0:0] presso la [C:6:0:0]Bottega del Gioielliere[C:7:0:0]. [C:3:0:1]Incastonale[C:7:0:0] su [C:6:0:1]Oggetti d'artigianato[C:7:0:0] e altri oggetti per migliorarne il valore."
"You can recognize a priesthood once this is a temple.","Puoi riconoscere un sacerdozio una volta che questo diventa tempio."
"I'm thirsty.","Ho sete."
"Farm plots","Terreni agricoli"
"history:sourcing:basic archaeology","storia:fonte:archeologia di base"
"I feel such lust.","Provo una tale libidine."
"witnessed death in incident","assistito alla morte in un incidente"
"Don't update any","Non aggiornare nulla"
"Glacier region count fails by ","Il conteggio delle regioni di ghiacciaio fallisce per "
"Friend of ","Amico di "
"wall","muro"
"feeling gaiety","prova gaiezza"
" Track (EW)"," Binario (EO)"
"This place could really use some more trouble.","Questo posto avrebbe bisogno di un po' di casino."
"Magma Flow","Flusso di magma"
"Abilities","AbilitÖ"
"Never","Mai"
"less trusting","meno fiducioso"
"tends to make a small mess with ","tende a fare un piccolo pasticcio con "
"Set the conditions for work order activation.  This can involve needed materials, the current stock of products, or the completion of other work orders.","Imposta le condizioni per l'attivazione dell'ordine di lavoro.  Ciï puï coinvolgere i materiali necessari, l'attuale riserva di prodotti o il completamento di altri ordini di lavoro."
"is very fast","ä molto veloce"
" after the horrible mismanagement of "," dopo l'orribile malagestione di "
"drops","lascia"
" drone pipes"," bordoni"
"Set this entry to recenter on the current view.","Imposta questa voce per rincentrare la visuale corrente."
"This does not move me.","Questo non mi commuove."
"Job overwritten","Lavoro sovrascritto"
"Set how many barrerls, bins, and wheelbarrows this stockpile can use.","Imposta quanti barili, cesti e carriole puï usare questa scorta."
"shared","condiviso"
"interpersonal ethics","etica interpersonale"
"the reasons why the wheel-and-axle construction is effective","le ragioni per cui la combinazione di ruota-e-asse ä efficace"
"  I require it as a symbol of the ","  Lo richiedo come simbolo della "
"Never lose yourself in loyalty.  You know what is best for yourself.","Non perderti mai nella lealtÖ.  Sai cosa ä meglio per te stesso."
"There is no written content here.","Non ci sono contenuti scritti qui."
"the forces","le forze"
" centered around the worship of "," incentrato sul culto di "
