"more presumptious","더 주제넘은"
"The [C:5:0:1]Help[C:7:0:0] button at the top of the screen contains more guides. ","화면 상단의 [C:5:0:1]도움말[C:7:0:0] 버튼에는 더 많은 가이드가 포함되어 있습니다. "
"Failed to find vanilla languages header.","바닐라 언어 헤더를 찾지 못했습니다."
"less attentive to details","세부 사항에 잘 신경쓰지 않는다"
"Nearest site: ","가장 가까운 사이트: "
"Bondage","속박"
"Tower Bedroom","타워 침실"
" beats"," 비트"
"I'm going out for some water.","나는 물을 좀 사러 갈거야."
"feel tender","부드러운 느낌"
"objects and properties","개체 및 속성"
"Tax Room","세무실"
"Siege frequency (percentage, otherwise raid)","공성 빈도(백분율, 그렇지 않으면 습격)"
"wishes to join","합류하기를 희망합니다 "
"Unknown creature","알 수 없는 생물"
"less altruistic","덜 이타적이다"
"the execution of ","실행 "
"I try to live and behave properly.","나는 바르게 살고 행동하려고 노력합니다."
"having an intellectual discussion with the spouse","배우자와 지적 토론"
"specific helm","특정 투구"
"Squad Patrol","분대 순찰"
"Farm Plot","농장"
"in order that acts of torture be perpetrated","고문 행위가 자행되도록"
"Route ","노선 "
"is very tall yet weak","매우 키가 크지만 약하다"
"can select the leader from the buttons at the top of the squad screen. ","부대 화면 상단의 버튼에서 리더를 선택할 수 있습니다. "
"added to a gruesome sculpture","소름 끼치는 조각에 추가"
"very near","매우 가까운"
"has a tall, skinny body that is very frail","매우 연약한 키가 크고 마른 체형을 가지고 있습니다."
"has such a developed sense of optimism that ","그렇게 발달된 낙관론을 가지고 있습니다. "
"a theft deal","절도 거래"
"Bait trap with ","미끼 트랩 "
"paper-slurryable ","종이 슬러리 가능 "
" also utilize the market there."," 그곳의 시장도 활용한다."
" jump all over the place when "," 언제 어디서나 점프 "
"thinks that the world should be engaged in perpetual warfare","세상은 영원한 전쟁에 종사해야한다고 생각한다"
"being near to a ","에 가깝다 "
" is the symbol of "," 의 상징이다 "
"a dormitory","기숙사"
"Main Job Building","주요 직업 건물"
"has a very broad, muscular, fat body","매우 넓고 근육질이며 뚱뚱한 몸을 가지고 있습니다."
"failure to get start square construction for transport link","운송 링크 시작 광장 건설 실패"
"ambiguity","모호"
"has a short broad body with a lot of fat on it","체지방이 많은 짧고 넓은 체형"
"I talked to my friend.","나는 내 친구와 이야기했다."
"the discardment of ","폐기 "
"fallen into a deep chasm.","깊은 수렁에 빠졌습니다."
"[C:6:0:1]Skins[C:7:0:0] are tanned at the [C:6:0:0]Tanner's Shop[C:7:0:0], and made into [C:6:0:1]Clothing[C:7:0:0] at the [C:6:0:0]Leather Works[C:7:0:0].","[C:6:0:1]가죽[C:7:0:0]은 [C:6:0:0]무두질공방[C:7:0:0]에서 무두질한 후 [C:6:0:1]가죽공방[C:7:0:0]에서 [C:6:0:1]옷[C:7:0:0]으로 만들어집니다."
"Vengeance","복수"
" having trouble breathing!"," 호흡 곤란!"
"spurned the law and refused to listen","법을 멸시하고 듣기를 거부함"
"Restarts if completed, conditions checked monthly","완료되면 다시 시작, 매월 조건 확인"
"Tanning","무두질"
"Plant crops at the farmplot.  You will need seeds or spawn and must select crops by season.  Crops can be fertilized with potash.  Soil is richer deeper underground.","농장 부지에 작물을 심습니다. 계절별로 작물을 선택해야하며 씨앗이 필요합니다. 농작물은 탄산 칼륨으로 비료를 줄 수 있습니다. 깊은 지하로 내려갈수록 토양은 비옥해집니다."
"Slab","석판"
"rivers","강하"
"untroubled by unmet needs","필요가 충족되지 않았지만 흐트러지지 않았다"
"Seek Ladder to Move","이동할 사다리 찾기"
"Running around babbling!","재잘거리며 달려간다!"
"a dance","댄스"
" as a "," 로서 "
"The poem continues.","시는 계속된다."
"Does this settlement engage in trade?  Tell me about those places.","이 정착지가 무역에 관여합니까? "
"mother and wife","어머니와 아내"
"Mettle","패기"
" (copy)"," (복사)"
"engineering:horology:shadow clock","공학:시계학:그림자 시계"
"a poem","시"
"New hospital","새로운 병원"
"This is an untitled","이것은 무제"
"The library","도서관"
"Sorting body detail plans...","신체 세부 도면 분류 중..."
"Ice Track (SE)","아이스 트랙(SE)"
"pillaged","약탈"
"This artwork appears ","이 작품이 등장합니다 "
"has the habit of answering questions with questions","질문으로 질문에 대답하는 습관이 있습니다."
"One-time order, conditions checked daily","일회성 주문, 조건은 매일 확인"
"rubs around the lip of","입술 주위를 문지른다."
" between "," ~ 사이 "
"the last of the ","의 마지막 "
"Musical composition","작곡"
"Metal Bars","금속 막대"
"All tasks","모든 작업"
"murdering somebody","누군가를 살해하다"
"is tiny and utterly weak","작고 완전 약하다"
"slept on rough stone","거친 돌 위에서 잠을 잤다"
"Workers dump other objects","작업자는 다른 개체를 덤프합니다."
" Y-Variance"," Y-분산"
"is very rarely moved by curiosity","호기심에 의해 거의 움직이지 않는다."
"the Incommensurable","비교할 수 없는 것"
"Not satisfied for next check","다음 확인에 만족하지 않음"
"Blocks creatures but allows the passage of fluids and items.  Can be built over empty spaces, stairs, ramps, or above liquids.  Bars unlike grates do not have a quality and so do not enhance the value of rooms significantly.  Bars can be connected to levers.","생물의 이동은 막지만 유체나 물건은 통과시킵니다. 허공, 계단, 경사로, 액체 위에 지을 수 있습니다. 격자와는 다르게 품질이 없기 때문에 방의 가치를 크게 향상시키지 못합니다. 레버에 연결할 수 있습니다."
"a cottage","별장"
"Manage work orders","작업 주문 관리"
"Caged Prisoner","갇힌 죄수"
"fermentable ","발효 가능 "
"No available traction bench","사용 가능한 트랙션 벤치 없음"
"mead hall (255,128,255)","미드홀(255,128,255)"
"I shared a personal insight with somebody.","나는 누군가와 개인적인 통찰력을 공유했습니다."
"Noted protector of the weak","저명한 보호자"
"horn.  ","뿔. "
"the construction and use of mechanical clocks","기계식 시계의 구성과 사용"
"verse paragraph","구절 단락"
"teaching ","가르치는 "
"the construction and use of the surveying staff","측량 직원의 구성 및 사용"
"Please be patient.  I'll have your order ready in a moment.","기다려주십시오. "
"polite","예의 바른"
"Values family","가족을 중요시함"
"I had a nightmare about my deceased spouse.","나는 죽은 배우자에 대한 악몽을 꾸었습니다."
" entitled "," 자격이 있는 "
" modestly"," 적당히"
"the great","위대한"
"astonished","깜놀한"
"What a strange place!","정말 이상한 곳입니다!"
"Considers brigand","도적으로 간주됨"
"Pump Operator","펌프 인부"
"known intruder","알려진 침략자"
"Respected for preserving the knowledge","지식 보존으로 존경 받는 자"
" mind"," 정신"
"finds the very idea of competition obscene","경쟁이라는 개념이 터무니없다고 본다"
"isn't given to flights of fancy","날아 다니는 상상에는 관심이 없습니다"
" is also located here"," 이곳에도 위치해 있습니다"
"I love the raunchy lyrics of the accompaniment!","나는 반주의 야한 가사를 좋아한다!"
"legendary hero","전설적인 영웅"
"Don't get on my bad side.","내 나쁜 편에 서지 마십시오."
"fantastic creatures no longer lived in great numbers.","환상적인 생물은 더 이상 많은 수로 살지 않았습니다."
"I will not despair.","나는 절망하지 않을 것이다."
" feeling sluggish!"," 둔한 느낌!"
"I feel such tenderness.","그런 부드러움이 느껴집니다."
"after arriving at the location","장소에 도착한 후"
"Reveal what you have been scheming or suffer the consequences.","당신이 계획한 것을 드러내거나 그 결과를 겪으십시오."
"Gelding","거세"
"Loading parameters...","매개변수 로드 중..."
"has a stout muscular body","탄탄한 근육질 몸매를 가지고 있다"
"Noted murderer","저명한 살인마"
"Anyone requested at depot","거래소에서 아무나 대기하기"
"cylindrical bore","원통형 보어"
"Truly mortified!","진정으로 굴욕스럽다!"
"Handle ","핸들 "
" becomes exasperated"," 짜증이 난다"
" came try to boss us around, but you'll teach that coward a lesson."," 우릴 우두머리로 만들려고 왔는데, 그 겁쟁이에게 교훈을 주게 될 겁니다."
"I need some more excitement in my life.","나는 내 인생에서 좀 더 흥분이 필요합니다."
"gentle","온화한"
"finds friendship burdensome","우정을 부담스러워한다"
"There is a folder with this name already.","이 이름을 가진 폴더가 이미 있습니다."
"Loading artifacts...","아티팩트 로드 중..."
"Overall, the choreography is masterful","전체적으로 안무가 훌륭하다."
"the Competitor","경쟁자"
"sucks the wind out of","바람을 빨아들인다"
"is muscular and very tall","근육질이고 매우 키가 크다"
"the Sundial","해시계"
"Is it raining?","비가 오는 중이 야?"
"Values peace","평화를 중요시함"
"holy ","거룩한 "
"A vile force of darkness has arrived!","어둠의 불쾌한 군세가 찾아왔습니다!"
" Or "," 또는 "
", with ",", 와 함께 "
"law-giver","입법자"
"slightly smooth","약간 매끄럽다"
"Show frames-per-second","초당 프레임 표시"
" was destroyed"," 파괴 된"
"Seek Splint","부목 찾기"
"Crucial","중대한"
"[C:3:0:1].Some sluggishness","[C:3:0:1].약간 느릿해짐"
"Scatterbrained","산만함"
"Sorting inorganics...","무기물 분류 중..."
"astronomer","천문학자"
" finale"," 종악장"
"construction of a gruesome sculpture from","소름 끼치는 조각품의 건설"
"an agreement to construct a temple for ","성전 건축을 \u200b\u200b위한 협정 "
"the Plains","평원"
" scale"," 규모"
"hospital wards","병동"
"attack on","~에 대한 공격"
"Gather fruit","열매를 따다"
"Patient","인내심 있음"
"Abduction","유 괴"
"  Prepare for the Journey to "," 여행 준비 "
"the removal of the seat of power of","권력의 자리 제거"
"Merchant","상인"
"advisors","고문"
"Cancel","취소"
" opens."," 열립니다."
"Temperate Freshwater Swamp","온대 민물 늪지"
"Need trigger type","트리거 유형 필요"
"melting","녹아내리는"
"Ghost","유령"
"Make cloth into clothing and tools here, such as bags and ropes.","이곳에서 천을 옷으로 만들고 가방과 밧줄 등의 도구를 만듭니다."
"Horns/hooves","뿔/발굽"
" of the instrument.]"," 악기의.]"
" is there."," 있다."
"education, its forms and recommendations","교육, 그 형태 및 권장 사항"
"Citizens, especially soldiers, will rarely name items.","시민, 특히 군인은 항목의 이름을 거의 지정하지 않습니다."
"cooling lava","냉각 용암"
"extremely long series of","엄청나게 긴 시리즈"
