"major","comandante"
"""My other worshippers?  As you wish, my faithful chosen!  There are other ways you can serve, if you offer your service again.  You may also live your life as you see fit now if you choose.  You have done well.""","""¨Mis otros adoradores? ­Como desees, mi fiel elegido! Existen otras formas en las que puedes servir, si vuelves a ofrecer tus servicios. Tambi‚n puedes vivir tu vida como mejor te parezca, si as¡ lo decides. Has cumplido bien."""
"""Ungrateful apostate!""","""­Ap¢stata ingrato!"""
"You ","T£ "
"have been cursed","han sido maldecidos"
"Your sleep has been interrupted!","­Tu sue¤o ha sido interrumpido!"
"""You are approaching your destination.  End your travels now and prepare yourself.""","""Te est s acercando a tu destino. Finaliza tu viaje y prep rate""."
" to view other pages"," para ver otras p ginas"
" Vapor"," Vapor"
"A thin layer of ","Una delgado capa de "
"a day's travel","un viaje de un d¡a"
"nearly a day's travel","un viaje de aproximadamente un d¡a"
"a half day's travel","un viaje de medio d¡a"
"a short walk","una caminata corta"
" to the "," hacia "
"north-northeast","norte-noreste"
"east-northeast","este-noreste"
"east-southeast","este-sureste"
"south-southeast","sur-sureste"
"south-southwest","sur-suroeste"
"west-southwest","oeste-suroeste"
"west-northwest","oeste-noroeste"
"north-northwest","norte-noroeste"
"This is an unintelligible mess.","Este es un l¡o ininteligible."
"thick ","espeso "
"light ","escasa "
"faint ","d‚bil "
"deep ","profundo "
"shallow ","superficial "
"vague ","impreciso "
" imprint in the "," estampar en el "
" is here."," es aqu¡."
"The vegetation is heavily damaged here.","La vegetaci¢n est  fuertemente da¤ada aqu¡."
"The vegetation is bent here.","La vegetaci¢n esta doblada aqu¡."
"The vegetation has been slightly perturbed here.","La vegetaci¢n ha sido ligeramente alterada aqu¡."
"The vegetation is broken here.","La vegetaci¢n esta rota aqu¡."
"The signs lead north.","Las se¤ales conducen al norte."
"The signs lead south.","Las se¤ales conducen al sur."
"The signs lead east.","Las se¤ales conducen al  este."
"The signs lead west.","Las se¤ales conducen al  oeste."
"The signs lead northeast.","Las se¤ales conducen al  noeste."
"The signs lead northwest.","Las se¤ales conducen al  noroeste."
"The signs lead southeast.","Las se¤ales conducen al  sureste."
"The signs lead southwest.","Las se¤ales conducen al  suroeste."
"They belong to you or a companion.","Te pertenecen a ti o a un acompa¤ante."
"Move","Mover"
"You can't travel until you emerge from underground or enter a tunnel.","No puedes viajar hasta que salgas del subsuelo o entres en un t£nel."
"You must move away from surrounding obstacles such as the site's walls and rivers before you can travel.","Debes alejarte de los obst culos que te rodean, como los muros del lugar y los r¡os, antes de poder viajar."
"You must move away from the river before you can travel.","Debes alejarte del r¡o antes de poder viajar."
"You assume a submissive posture.","Asumes una postura sumisa."
"You no longer assume a submissive posture.","Ya no asumes una postura sumisa."
"You strap ","Tu atas "
" to your "," para ti "
"You draw ","Tu dibujas "
" with your "," con tu "
"You do not have a free grasp for ","No tienes un agarre libre para "
"You have nothing left to draw or put away.","No te queda nada que dibujar o guardar."
"You are riding and cannot lie down.","Est s montando y no puedes tumbarte."
"The webs make it impossible to stand.","Las redes hacen imposible estar de pie."
"You are too tired to stand.","Est s demasiado cansado para estar de pie."
"You aren't wielding a ranged weapon.","No est s portando un arma a distancia"
" with threats of violence"," con amenazas de violencia"
"You don't have any ammunition for ","No tienes ninguna munici¢n para "
" is already prepared to shoot."," ya est  listo para disparar"
"You begin ","Empiezas "
"nocking","encocando"
"loading","cargando"
"into","dentro"
"You've already searched this area recently.","Ya has buscado en esta  rea recientemente."
"You've found a colony of ","Has encontrado una colonia de "
" and another small creature."," y otra peque¤a criatura."
" and some other small creatures."," y algunas otras criaturas peque¤as."
"You've found a small creature.","Has encontrado una peque¤a criatura."
"You've found some small creatures.","Has encontrado algunas criaturas peque¤as."
"Your intense search turns up nothing.","Tu intensa b£squeda no arroja nada."
"Anatomy","Anatom¡a"
" cannot climb."," no puede subir."
"You are too injured to climb.","Est s demasiado herido para escalar."
"You need a free grasp to climb.","Necesitas un agarre libre para escalar."
" pull off"," lograr"
" pulls off"," lograr"
" pick"," elegir"
" picks"," selecciones"
" up the "," sube la "
" and put it in "," y ponlo en "
" and puts it in "," y ponlos en "
"You do not have a free grasp and your quiver and packs are full.","No tienes las manos libres y tanto tu carcaj como tus mochilas est n llenos."
"You do not have a free grasp and your quiver and pack are full.","No tienes las manos libres y tanto tu carcaj como tu mochila est n llenos."
"You do not have a free grasp and your quivers and pack are full.","No tienes las manos libres y tanto tus carcajes como tu mochila est n llenos."
"You do not have a free grasp and your quivers are full.","No tienes un agarre libre y tus carcaj est n llenos."
"You do not have a free grasp and your quiver is full.","No tienes una mano libre y tu carcaj est  lleno."
"You do not have a free grasp and your pack is full.","No tienes las manos libres y tu mochila est n llena."
"You do not have a free grasp.","No tienes agarre libre."
"You've located a ","Has localizado un "
"right under you","justo debajo de ti"
"above and ","arriba y "
"below and ","abajo y "
" says:  """," dice: """
" says, """," dice, """
"Temperate Conifer Forest","Bosque Tempaldo de Con¡feras"
"Tropical Dry Brdlf Forest","Bosque Tropical Seco Frond"
"Tropical Moist Brdlf Forst","Bosq Tropical Frond H£medo"
"Temperature: ","Temperatura: "
"Freezing","Congelaci¢n"
"Warm","C lido"
"Trees: ","Arboles: "
"Scarce","Escaso"
"Sparse","Escaso"
"Woodland","Floresta"
"Heavily Forested","Bosque Espeso"
"Other Vegetation: ","Otra Vegetaci¢n: "
"Moderate","Moderado"
"Thick","Grueso"
"Surroundings: ","Alrededores: "
"Serene","Sereno"
"Calm","Calma"
"Sinister","Siniestro"
"Mirthful","Alegre"
"Wilderness","Yermo"
"Haunted","Embrujado"
"Joyous Wilds","Yermo Jubiloso"
"Untamed Wilds","Animales salvajes ind¢mitos"
"Terrifying","Espantoso"
"Multiple Constructions","Construcciones multiples"
"Major River: ","r¡o mayor "
"River: ","R¡o: "
"Minor River: ","Rio menor "
"Stream: ","Arroyo: "
"Brook: ","Riacho: "
"Volcano: ","Volc n: "
"Mountain: ","Monta¤a: "
"[C:3:0:1]You are a ","[C:3:0:1]Eres un "
" based in "," basado en "
"[C:2:0:1]You have been ordered to drive ","[C:2:0:1]Se te ha ordenado conducir "
"  You should report the task as complete."," Deber¡as informar que la tarea est  completa."
" is rumored to be in "," se rumorea que est  en "
"  [C:7:0:0]This is common knowledge where you are from."," [C:7:0:0]Esto es de conocimiento com£n en tu lugar de origen."
"  [C:5:0:1]This creature is known to be dead."," [C:5:0:1]Se conoce que esta criatura est  muerta."
"  [C:2:0:1]You have been ordered to kill this creature."," [C:2:0:1]Se te ha ordenado que mates a esta criatura."
"Offloading site...","Descargando sitio..."
"Sewer Access","Acceso al alcantarillado"
"Tree House","Casa del  rbol"
"The Home Tree","El  rbol del hogar"
"Shaping Tree","Dar forma al  rbol"
"Market Tree","µrbol de mercado"
"Tavern Tree","µrbol de taberna"
"Library Tree","µrbol de biblioteca"
"Counting Tree","µrbol de conteo"
"Guild Tree","µrbol del gremio"
"Tower Tree","µrbol de la torre"
"Drinking Mound","Mont¡culo para beber"
"Castle Mound","Mont¡culo del castillo"
"Civic Mound","Mont¡culo c¡vico"
"Counting House","Oficina de contabilidad"
"Guildhall","Sede del gremio"
"Tower","Torre"
"Abandoned shop","Tienda abandonada"
"Food imports","Importaciones de alimentos"
"Clothing imports","Importaciones de ropa"
"General imports","Importaciones generales"
"Cloth shop","Tienda de ropa"
"Leather shop","Tienda de cuero"
"Woven clothing shop","Tienda de ropa tejida"
"Leather clothing shop","Tienda de ropa de cuero"
"Bone carver's shop","Tienda de tallador de huesos"
"Gem cutter's shop","Tienda de cortadores de gemas"
"Weaponsmith's shop","Tienda de armas"
"Bowyer's shop","Tienda de arcos"
"Blacksmith's shop","Herrer¡a"
"Armorsmith's shop","Tienda de armaduras"
"Metal craft shop","Tienda de artesan¡a en metal"
"Leather goods shop","Tienda de art¡culos de cuero"
"Carpenter's shop","Tienda de carpintero"
"Stone furniture shop","Tienda de muebles de piedra"
"Metal furniture shop","Tienda de muebles de metal"
"Barrow","Vagoneta"
"Warehouse","Almac‚n"
"Fortress Entrance","Entrada a la fortaleza"
"Trenches","Trincheras"
"Shrine to ","Santuario a "
"Shrine","Santuario"
"Empty market","Mercado vac¡o"
"Imported goods market","Mercado de bienes importados"
"Imported food market","Mercado de bienes exportados"
"Imported clothing market","Mercado de ropa importada"
"Meat market","Mercado de carne"
"Fruit and vegetable market","Mercado de fruta y verdura"
"Cheese market","Mercado de queso"
"Processed goods market","Mercado de productos procesados"
"Underground Fortress","Fortaleza subterr nea"
"Underground Farms","Granjas subterr neas"
"Underground Stair","Escalera subterr nea"
"Hillocks","Mont¡culos"
"Houses","Casas"
"Hillock","Mont¡culo"
"House","Casa"
"Abandoned hillocks","Mont¡culos abandonados"
"Abandoned houses","Casas abandonadas"
"Abandoned hillock","Mont¡culo abandonado"
"Abandoned house","Casa abandonada"
"Ruined hillocks","Mont¡culos en ruinas"
"Ruined houses","Casas en ruinas"
"Ruined hillock","Mont¡culo en ruina"
"Ruined house","Casa en ruinas"
"No significant structures","Sin estructuras significativas"
"Shrine of ","Santuario de "
"Strongest Odor: ","Olor m s fuerte: "
"You have discovered a ","Has descubierto un "
"You cannot travel through the ","No puedes viajar a trav‚s del "
"Dawn is breaking.","Est  amaneciendo."
"It is noon.","Es medio d¡a."
"Night is falling.","La noche est  cayendo."
"You struggle for ","Luchas por "
"You roll","Ruedas"
", divining the will of ",", adivinando la voluntad de "
" according to the practice of "," seg£n la pr ctica de "
", testing the will of ",", poniendo a prueba la voluntad de "
" shows "," muestra "
" comes up "," surge "
" lands on "," cae sobre "
"a word but you cannot read","una palabra pero no puedes leer"
"Your fate is sealed.","Tu destino est  sellado."
"Don't you know that ","No sabes que "
" is a jealous deity?  Why consult another?"," ¨Es una deidad celosa? ¨Por qu‚ consultar a otra?"
"  Let a week pass."," Dejar pasar una semana."
"  Let some days pass."," Dejar pasar algunos d¡as."
"  Let another day pass."," Dejar pasar otro d¡a."
"You already know the will of ","Conoces la voluntad de "
"Why wasn't ","Por qu‚ no fue "
", a jealous deity, consulted first?",", una deidad celosa, ¨Consult¢ primero?"
".  Do not tempt fate.",". No tientes al destino."
"Praise ","Elogiar "
" for ignoring your hubris.  "," por ignorar tu arrogancia. "
"Freedom is allowed even in this.","Incluso en esto se permite libertad."
" without bound"," sin l¡mites"
"You are forgiven.","Est s perdonado."
"You are free to do as you choose.","Eres libre de hacer lo que elijas."
"Your happiness is still desired.","Tu felicidad todav¡a es deseada."
"You are loved.","Eres amado."
"You have been granted mercy.","Se te ha concedido misericordia."
"Peace is cherished.","Se valora la paz."
"Such care for your happiness!","­Ten cuidado por tu felicidad!"
"Such ","Semejante "
"Such is the spirit of ","As¡ es el esp¡ritu de "
"Infinite ","Infinito "
"tender","tierno"
"""Hubris!""","""­Arrogante!"""
"has been cursed","has sido maldecido"
"Look out for a chance encounter.","Estate atento a un encuentro fortuito."
"Stay the course.","Mantener el rumbo."
"Expect a change.","Espere un cambio."
"The task will not be completed.","La tarea no se completar ."
"The task will be successful.","La tarea ser  un ‚xito."
"Focus on living in harmony.","Conc‚ntrate en vivir en armon¡a."
"Fulfillment will be yours.","La realizaci¢n ser  tuya."
"A reckoning awaits.","Un ajuste de cuentas espera."
"You must reflect on your actions.","Debes reflexionar sobre tus acciones."
"Beware doubt.","Cuidado con la duda."
"Joy is on the horizon.","La alegr¡a est  en el horizonte."
"A great sadness is coming.","Se avecina una gran tristeza."
"A sudden upheaval is in store.","Se avecina una agitaci¢n repentina."
"A coming disaster can be delayed, but not avoided.","Un pr¢ximo desastre puede retrasarse, pero no evitarse."
"Follow your desire.","Sigue tu deseo."
"Rely on willpower to see you through.","Conf¡a en la fuerza de voluntad para salir adelante."
"Beware those that lack passion.","Cuidado con los que carecen de pasi¢n."
"All is not as it seems.","No todo es lo que parece."
"Have faith and all shall be rejuvenated.","Tengan fe y todo ser  rejuvenecido."
"Cling not to material things.","No te aferres a las cosas materiales"
"Hold to hope when all else is lost.","Manten la esperanza cuando todo lo dem s est‚ perdido."
"Be playful today.","Sea juguet¢n hoy"
"Do not be stopped by fear.","No os dej‚is detener por el miedo."
"You will released.","Ser s liberado."
"Do not take any chances.","No tomes ning£n riesgo."
"Look to another for what you need.","Busca en otro lugar lo que necesitas."
"The partnership is one-sided.","La asociaci¢n es unilateral."
"There are two sides to every story.","Hay dos versiones de cada historia."
"Follow your intuition.","Sigue tu intuici¢n."
"You will travel far from this place.","Viajar s lejos de este lugar."
"An important decision awaits your careful deliberation.","Una decisi¢n importante espera su cuidadosa deliberaci¢n."
"Beware of ill-conceived plans.","Cuidado con los planes mal concebidos."
"Focus today.","Conc‚ntrate hoy."
"Be compassionate.","Se compasivo."
"Today you will have a moment of weakness.","Hoy tendr s un momento de debilidad."
